BSL;LHR;319;1:45;17:25;18:10
BTR;DFW;ERD;1:25;6:0;7:25
BUD;AMS;73G;2:5;7:10;9:15
BUD;ARN;736;2:10;7:10;9:20
BUD;ATH;73G;2:0;12:0;15:0
BUD;BEY;736;2:55;23:10;3:5
BUD;BRU;73G;1:55;7:10;9:5
BUD;CDG;736;2:20;19:25;21:45
BUD;CLJ;S20;0:55;13:45;15:40
BUD;CPH;73G;1:55;7:20;9:15
BUD;DAM;73G;3:10;23:10;3:20
BUD;DME;736;2:30;14:40;19:10
BUD;DUB;736;3:5;19:15;21:20
BUD;FCO;F70;1:40;7:25;9:5
BUD;FRA;F70;1:50;7:45;9:35
BUD;GOT;F70;2:5;7:25;9:30
BUD;GVA;DH4;2:10;7:10;9:20
BUD;HAM;F70;1:45;18:55;20:40
BUD;HEL;319;2:20;19:20;22:40
BUD;IST;F70;1:50;12:0;14:50
BUD;KBP;73G;1:35;12:50;15:25
BUD;LCA;736;2:50;23:20;3:10
BUD;LGW;73G;2:30;7:20;8:50
BUD;LHR;320;2:45;8:30;10:15
BUD;LJU;EM2;1:10;8:5;9:15
BUD;MAD;736;3:10;9:50;13:0
BUD;MXP;F70;1:40;7:40;9:20
BUD;ODS;F70;1:30;12:55;15:25
BUD;OTP;736;1:15;13:5;15:20
BUD;PRG;736;1:5;8:20;9:25
BUD;PRN;736;1:40;12:50;14:30
BUD;SJJ;DH4;1:10;13:25;14:35
BUD;SKG;F70;1:30;12:50;15:20
BUD;SKP;DH4;1:35;13:5;14:40
BUD;SOF;73G;1:20;13:5;15:25
BUD;STR;S20;1:40;7:35;9:15
BUD;SVX;736;4:0;20:0;4:0
BUD;TGD;EM2;1:25;13:10;14:35
BUD;TGM;DH4;1:0;13:20;15:20
BUD;TIA;DH4;1:40;12:50;14:30
BUD;TLV;738;3:10;9:20;13:30
BUD;TSR;EM2;0:50;13:40;15:30
BUD;TXL;73G;1:25;18:35;20:0
BUD;VAR;DH4;1:45;23:10;1:55
BUD;VCE;S20;1:25;8:20;9:45
BUD;WAW;F70;1:10;7:30;8:40
BUD;ZAG;EM2;1:0;9:10;10:10
BUD;ZRH;DH4;1:45;7:30;9:15
BUF;ORD;ER4;1:55;10:40;11:35
BUR;DFW;M80;2:55;11:20;16:15
BUR;IND;M80;5:55;7:10;16:5
BUR;SDF;M80;5:50;13:15;22:5
BWI;AUS;M80;5:45;16:10;20:55
BWI;DFW;M80;3:35;12:30;15:5
BWI;JFK;ER4;1:19;13:35;14:54
BWI;KIN;738;5:15;14:45;20:0
BWI;LHR;767;7:15;21:0;9:15
BWI;MCI;M80;5:55;18:35;23:30
BWI;MIA;738;2:35;6:0;8:35
BWI;MSY;M80;5:50;7:5;11:55
BWI;ORD;ER4;2:20;6:0;7:20
BWI;SAN;M80;7:45;9:45;14:30
BWI;SDQ;738;5:50;8:30;15:20
BWI;SJU;738;3:40;8:30;13:10
BZE;DFW;738;3:15;16:35;19:50
BZE;MIA;738;1:55;12:50;15:45
BZE;SEA;738;8:30;16:35;23:5
CAI;LHR;744;5:10;8:50;12:0
CAI;MAD;319;5:0;23:45;3:45
CAN;KIX;73H;3:20;15:35;19:55
CAN;NGO;767;3:30;15:15;19:45
CAN;NRT;73H;3:55;9:20;14:15
CBR;ADL;734;1:45;6:5;7:20
CBR;BNE;734;1:40;6:25;7:5
CBR;MEL;734;1:10;6:40;7:50
CBR;PER;73H;4:40;17:0;19:40
CBR;SYD;734;0:55;6:45;7:40
CCP;SCL;318;1:5;8:10;9:15
CCS;BCN;340;13:35;22:5;17:10
CCS;BWI;738;6:45;15:35;21:50
CCS;DFW;757;5:50;11:5;15:25
CCS;JFK;757;4:59;13:30;17:59
CCS;MAD;340;8:35;18:50;8:55
CCS;MIA;757;3:20;6:50;9:40
CCS;SCL;763;6:40;11:5;19:15
CCS;SJU;738;1:40;15:35;17:45
CCU;LHR;777;11:0;5:5;10:35
CDG;BLL;D38;1:55;19:40;21:35
